MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,20;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
4704600;Situado aparcabicicletas;16;HORTALEZA;164;PINAR DEL REY;OPERATIVO;01/03/13;CALLE;ACONCAGUA;4;31017762;
457787;SITUADO APARCABICICLETAS - C/ TAMAYO Y BAUS Nº5;01;CENTRO;014;JUSTICIA;OPERATIVO;;CALLE;TAMAYO Y BAUS;5;20005408;
457790;SITUADO APARCABICICLETAS - Pº RECOLETOS Nº23;01;CENTRO;014;JUSTICIA;OPERATIVO;;PASEO;RECOLETOS;23;11004257;
4704601;Situado aparcabicicletas;16;HORTALEZA;164;PINAR DEL REY;OPERATIVO;01/03/13;CALLE;NEVADO DEL RUIZ;4;20155744;
457794;SITUADO APARCABICICLETAS - C/ MESONERO ROMANOS Nº13;01;CENTRO;015;UNIVERSIDAD;OPERATIVO;;CALLE;MESONERO ROMANOS;13;20006522;
457798;SITUADO APARCABICICLETAS - C/ MESONERO ROMANOS Nº17;01;CENTRO;015;UNIVERSIDAD;OPERATIVO;;CALLE;MESONERO ROMANOS;17;20006452;
4704599;Situado aparcabicicletas;16;HORTALEZA;163;CANILLAS;OPERATIVO;01/03/13;CALLE;LAS PEDRO?ERAS;1;20055166;
4704602;Situado aparcabicicletas;16;HORTALEZA;164;PINAR DEL REY;OPERATIVO;01/03/13;CALLE;MAR DE LAS ANTILLAS;10;31012936;
4704603;Situado aparcabicicletas;16;HORTALEZA;164;PINAR DEL REY;OPERATIVO;01/03/13;CALLE;MAR MENOR;25;11119370;
457801;SITUADO APARCABICICLETAS - Pz. CALLAO Nº1;01;CENTRO;016;SOL;OPERATIVO;;PLAZA;CALLAO;2;20102742;
457803;SITUADO APARCABICICLETAS - Pz. SANTO DOMINGO Nº19;01;CENTRO;011;PALACIO;OPERATIVO;;PLAZA;SANTO DOMINGO;19;20003766;
457804;SITUADO APARCABICICLETAS - Pz. SANTO DOMINGO Nº19;01;CENTRO;011;PALACIO;OPERATIVO;;PLAZA;SANTO DOMINGO;19;20003766;
4704604;Situado aparcabicicletas;16;HORTALEZA;164;PINAR DEL REY;OPERATIVO;01/03/13;CALLE;SANTA VIRGILIA;19;31050802;
457807;SITUADO APARCABICICLETAS - CUESTA SANTO DOMINGO Nº14;01;CENTRO;011;PALACIO;OPERATIVO;;CUESTA;SANTO DOMINGO;14;11000185;
457808;SITUADO APARCABICICLETAS - Pz. SAN MARTIN Nº1;01;CENTRO;016;SOL;OPERATIVO;;PLAZA;SAN MARTIN;1;11007884;
457812;SITUADO APARCABICICLETAS - Pz. SAN MARTIN Nº5;01;CENTRO;016;SOL;OPERATIVO;;PLAZA;SAN MARTIN;5;11007281;
457815;SITUADO APARCABICICLETAS - Pz. ISABEL II Nº6;01;CENTRO;011;PALACIO;OPERATIVO;;PLAZA;ISABEL II;6;31026055;
4704605;Situado aparcabicicletas;16;HORTALEZA;164;PINAR DEL REY;OPERATIVO;01/03/13;CARRETERA;ESTACION DE HORTALEZA;18;31041861;
4704606;Situado aparcabicicletas;16;HORTALEZA;165;APOSTOL SANTIAGO;OPERATIVO;01/03/13;CALLE;CARRION DE LOS CONDES;21;11121086;
457818;SITUADO APARCABICICLETAS - Pz. ISABEL II Nº8;01;CENTRO;011;PALACIO;OPERATIVO;;PLAZA;ISABEL II;8;20003836;
457820;SITUADO APARCABICICLETAS - C/ VERGARA Nº3;01;CENTRO;011;PALACIO;OPERATIVO;;CALLE;VERGARA;3;31037358;
4704607;Situado aparcabicicletas;16;HORTALEZA;166;VALDEFUENTES;OPERATIVO;01/03/13;CALLE;ROCIO JURADO;44;31044007;
457823;SITUADO APARCABICICLETAS - C/ SANTA CLARA Nº1;01;CENTRO;011;PALACIO;OPERATIVO;;CALLE;SANTA CLARA;1;31037355;
4704608;Situado aparcabicicletas;16;HORTALEZA;166;VALDEFUENTES;OPERATIVO;01/03/13;AVENIDA;LAS FUERZAS ARMADAS;166;31043330;
4704609;Situado aparcabicicletas;16;HORTALEZA;166;VALDEFUENTES;OPERATIVO;01/03/13;CALLE;HERMANOS GASCON;76;31052128;
457830;SITUADO APARCABICICLETAS - C/ MAYOR Nº86;01;CENTRO;011;PALACIO;OPERATIVO;;CALLE;MAYOR;86;11000048;
4704610;Situado aparcabicicletas;16;HORTALEZA;166;VALDEFUENTES;OPERATIVO;01/03/13;CALLE;MAESTRA DOLORES MARCO;10;31039871;
457832;SITUADO APARCABICICLETAS - C/ MAYOR Nº83;01;CENTRO;011;PALACIO;OPERATIVO;;CALLE;MAYOR;83;11000040;
4704611;Situado aparcabicicletas;16;HORTALEZA;166;VALDEFUENTES;OPERATIVO;01/03/13;CALLE;JUAN DANIEL FULLAONDO;15;31039883;
4704612;Situado aparcabicicletas;16;HORTALEZA;166;VALDEFUENTES;OPERATIVO;01/03/13;AVENIDA;LAS FUERZAS ARMADAS;206;31052130;
457833;SITUADO APARCABICICLETAS - C/ SEGOVIA Nº75;01;CENTRO;011;PALACIO;OPERATIVO;;CALLE;SEGOVIA;75;20007178;
457834;SITUADO APARCABICICLETAS - C/ BAILEN Nº41;01;CENTRO;011;PALACIO;OPERATIVO;;CALLE;BAILEN;41;11000942;
457837;SITUADO APARCABICICLETAS - CARRERA SAN FRANCISCO Nº6;01;CENTRO;011;PALACIO;OPERATIVO;;CARRERA;SAN FRANCISCO;6;11000965;
4704613;Situado aparcabicicletas;16;HORTALEZA;166;VALDEFUENTES;OPERATIVO;01/03/13;CALLE;FRANCISCO UMBRAL;61;31043245;
457844;SITUADO APARCABICICLETAS - Pz. PUERTA DE MOROS Nº5;01;CENTRO;011;PALACIO;OPERATIVO;;PLAZA;PUERTA DE MOROS;5;31026434;
457845;SITUADO APARCABICICLETAS - Pz. DE LA PAJA Nº3;01;CENTRO;011;PALACIO;OPERATIVO;;PLAZA;PAJA;3;11000698;
4704614;Situado aparcabicicletas;16;HORTALEZA;166;VALDEFUENTES;OPERATIVO;01/03/13;CALLE;FRANCISCO UMBRAL;59;31043244;
457848;SITUADO APARCABICICLETAS - Pz. CRUZ VERDE Nº1;01;CENTRO;011;PALACIO;OPERATIVO;;PLAZA;CRUZ VERDE;1;11000578;
4704615;Situado aparcabicicletas;16;HORTALEZA;166;VALDEFUENTES;OPERATIVO;01/03/13;CALLE;PROVISIONAL CARCAVAS OESTE UNO;18;31046860;
