FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
03/01/2012;DE 20:00 A 20:59;MARTES;SALAMANCA                     ;AVENIDA DE LOS TOREROS - CALLE DE ROBERTO DOMINGO                                                   ;0;2012/220;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 10 A 14 AÑOS
04/01/2012;DE 11:00 A 11:59;MIERCOLES;FUENCARRAL-EL PARDO           ;CALLE DE GINZO DE LIMIA NUM                                                                         ;44;2012/116;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
04/01/2012;DE 19:00 A 19:59;MIERCOLES;CHAMARTIN                     ;CALLE DE AGUSTIN DE FOXA - CALLE DEL PADRE FRANCISCO PALAU Y QUER                                   ;0;2012/170;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
07/01/2012;DE 16:00 A 16:59;SABADO;TETUAN                        ;CALLE DE BRAVO MURILLO - CALLE DE AVILA                                                             ;0;2012/226;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
07/01/2012;DE 17:00 A 17:59;SABADO;CARABANCHEL                   ;CALLE DE ANTONIO LOPEZ NUM                                                                          ;70;2012/365;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 30 A 34 ANOS
08/01/2012;DE 12:00 A 12:59;DOMINGO;ARGANZUELA                    ;CALLE DEL PUERTO DE LA CRUZ VERDE - CALLE DE PUERTO SERRANO                                         ;0;2012/176;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 40 A 44 AÑOS
08/01/2012;DE 13:00 A 13:59;DOMINGO;VILLA DE VALLECAS;CALLE  REAL DE ARGANDA - CARRETERA DE MEJORADA DEL CAMPO                                            ;0;2012/202;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 65 A 69 AÑOS
09/01/2012;DE 16:00 A 16:59;LUNES;CENTRO                        ;CALLE DE PRIM NUM                                                                                   ;1;2012/245;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
09/01/2012;DE 19:00 A 19:59;LUNES;PUENTE DE VALLECAS            ;CALLE DE MIGUEL DE LA ROCA - CALLE DE CARDEÑOSA                                                     ;0;2012/257;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 15 A 17 AÑOS
09/01/2012;DE 19:00 A 19:59;LUNES;PUENTE DE VALLECAS            ;CALLE DE MIGUEL DE LA ROCA - CALLE DE CARDEÑOSA                                                     ;0;2012/257;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN DOBLE                          ;BICICLETA                               ;VIAJERO                                 ;MUJER;HL                                      ;DE 15 A 17 AÑOS
09/01/2012;DE 19:00 A 19:59;LUNES;SAN BLAS                      ;CALLE DE SOFIA - AVENIDA DE CANILLEJAS A VICALVARO                                                  ;0;2012/264;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
