CODIGO;NOMBRE;INSTITUCION;DIRECCION;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;COMUNIDAD_AUTONOMA;PAIS;TRANSPORTE;AÑO_FUNDACION;HORARIO;TIPO_ACCESO;NOTAS_ACCESO;TIPO_BIBLIOTECA;TIPO_DEPENDENCIA;PRESTAMO_INTERBIBLIOTECARIO;CATALOGOS_IMPRESOS;OBSERVACIONES
X41000101;Instituto Cervantes. Biblioteca (Londres, Reino Unido);Instituto Cervantes;15-19 Devereux Court;WC2R 3JJ;Londres;;;Reino Unido;;;;Acceso libre;;Especializada;Administración pública central
X41000201;Instituto Cervantes. Biblioteca (Mánchester, Reino Unido);Instituto Cervantes;326/330 Deansgate, Campfield Avenue Arcade;M3 4FN Manchester;Mánchester;;;Reino Unido;;;Lunes a jueves de 10-14 y de 14:30 a 18, viernes de 12:30-15, sábados de 10-14. Domingos cerrado;Acceso libre;;Especializada;Administración pública central
X41700101;Instituto Cervantes. Biblioteca (Dublín, Irlanda);Instituto Cervantes;Lincoln House, Lincoln Place;2;Dublín;;;Irlanda;;;Lunes-jueves de 11-20, Viernes de 10-14;Acceso libre;;Especializada;Administración pública central
X43000101;Instituto Cervantes. Biblioteca (Munich, Alemania);Instituto Cervantes;Alfons-Goppel-Straße 7;8000;Munich;;;Alemania, República Federal de;;;;Acceso libre;;Especializada;Administración pública central
X43600101;Instituto Cervantes. Biblioteca (Viena, Austria);Instituto Cervantes;Schwarzenbergplatz 2;A 1010;Viena;;;Austria;;;;Acceso libre;;Especializada;Administración pública central
X44000101;Instituto Cervantes. Biblioteca (Burdeos, Francia);Instituto Cervantes;57 Cours de L'Intendence;33000;Burdeos;;;Francia;;;;Acceso libre;;Especializada;Administración pública central
X44000201;Instituto Cervantes. Biblioteca Española Octavio Paz (París, Francia);Instituto Cervantes;7 Quentin Bauchart;75008;París;;;Francia;;;Lunes-viernes de 10-18, Agosto cerrado;Acceso libre;;Especializada;Administración pública central
X44000202;Colegio de España (París, Francia). Biblioteca;Colegio de España (París, Francia);7E Bd Jourdan;75014;París;;;Francia;;;Lunes, martes y jueves de 12-20, Miércoles y viernes de 10-13 y de 14-20, Sábado de 14-19'30, Navidad y Agosto cerrado;Acceso libre;;Especializada;Administración pública central;a nivel nacional
X44000301;Instituto Cervantes. Biblioteca (Toulouse, Francia);Instituto Cervantes;31 Rue des Chalets;31000;Toulouse;;;Francia;;1996;Lunes-viernes de 10'30-12'30 y de 14-18'30;Acceso libre;;General/Pública;Administración pública central
X45000101;Instituto Cervantes. Biblioteca (Milán, Italia);Instituto Cervantes;Via Dante 12;20121;Milán;;;Italia;;;;Acceso libre;;Especializada;Administración pública central
X45000201;Instituto Cervantes. Biblioteca (Nápoles, Italia);Instituto Cervantes;Via Nazario Sauro 23;80132;Nápoles;;;Italia;;;;Acceso libre;;Especializada;Administración pública central
X45000301;Instituto Cervantes. Biblioteca (Roma, Italia);Instituto Cervantes;Via de Villa Albani 16;00198;Roma;;;Italia;;;;Acceso libre;;Especializada;Administración pública central
X45000302;Escuela Española de Historia y Arqueología en Roma. Biblioteca;Consejo Superior de Investigaciones Científicas. CSIC;Via di Sant'Eufemia 13;00187;Roma;;;Italia;;;Lunes-viernes de 9-14'30. Agosto cerrado;Acceso restringido;;Especializada;Administración pública central;a nivel nacional e internacional
X46900101;Instituto Cervantes. Biblioteca (Lisboa, Portugal);Instituto Cervantes;Rua Santa Marta 43 F;1169-119;Lisboa;;;Portugal;;;;Acceso libre;;Especializada;Administración pública central
X47000101;Instituto Cervantes. Biblioteca (Moscú, Rusia);Instituto Cervantes;Novinski Boulevard 20ª bl. 1-2;121069;Moscú;;;Rusia, Federación de;;;Lunes y jueves de 11-14 y de 15-19, sábados de 12-18. Martes, miércoles, viernes y domingos cerrado (abierta los últimos viernes de cada mes de 11-14 y 15-19);Acceso libre;;Especializada;Administración pública central;con la Red del Instituto Cervantes
X49200101;Instituto Cervantes. Biblioteca (Utrecht, Paises Bajos);Instituto Cervantes;Domplein 3;3512 JC;Utrecht;;;Países Bajos;;;;Acceso libre;;Especializada;Administración pública central
X49500101;Instituto Cervantes. Biblioteca (Atenas, Grecia);Instituto Cervantes;Skoufa 31;10673;Atenas;;;Grecia;;;;Acceso libre;;Especializada;Administración pública central
X49800101;Instituto Cervantes. Biblioteca (Bucarest, Rumanía);Instituto Cervantes;Bd. Regina Elisabeta 38;050017;Bucarest;;;Rumanía;;;;Acceso libre;;Especializada;Administración pública central
X51000101;Instituto Cervantes. Biblioteca (Pekín, China);;A1 Gongti Nanlu, 2ª Planta;100020;Pekín;;;China;;2007;Martes a sábado: 10:30-18. Domingo y lunes: cerrado;Acceso libre;;Especializada;Administración pública central;con otras bibliotecas españolas
X56930101;Instituto Cervantes. Biblioteca (Beirut, Líbano);Instituto Cervantes;Bechara El Khoury C/ Nassif Yazigi;BDD 1075;Beirut;;;Líbano;;;;Acceso libre;;Especializada;Administración pública central
X56950101;Instituto Cervantes. Biblioteca (Amán, Jordania);Instituto Cervantes;Mohammad Hafiz Maat 10;81546;Amán;;;Jordania;;;;Acceso libre;;Especializada;Administración pública central
X59900101;Instituto Cervantes. Biblioteca (Manila, Filipinas);Instituto Cervantes;Ayala Triangle, Ayala Avenue. Makati City. Unit D G/F, Tower One & Exchange Plaza;1226;Manila;;;Filipinas;;;;Acceso libre;;Especializada;Administración pública central
