NÈMERO CATµLOGO;CATALOGACI‡N PG97;CATALOGACI‡N A 27/07/18;BIC_BIP;DENOMINACI‡N;OBSERVACIONES;VIA_CLASE_TX;VIA_NOMBRE;APP_NUM;APP_CLF;UTMX_ETRS;UTMY_ETRS
29764;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;MAR DE BERING;2;D;445541,4;4480458,48
11268;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;MAGALLANES;22;;440158,75;4476171,49
30525;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;HUERTA DEL CONVENTO;13;;448787,36;4472400,17
15086;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;CONDE DE PE•ALVER;70;;442751,94;4475901,28
30212;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;PUERTO DEL SUEBE;6;;443615,26;4471953,94
30182;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;NICOLAS SANCHEZ;43;;440072,37;4470670,34
30166;Ambiental;Desaparecido por Demolici¢n Total;;;;AVENIDA;MONTE IGUELDO;16;;443278,23;4471979,89
30530;Ambiental;Descatalogado;;;Don Antonio de AndrÇs, 14 y 17;PLAZA;DON ANTONIO DE ANDRES;14;;448626,92;4472586,79
15280;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;JOSE ORTEGA Y GASSET;82;;442912,36;4475661,51
30531;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;FUENTES DE SAN JORGE;2;;448616,9;4472510,09
29763;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;AURELIO GONZALEZ DE GREGORIO;25;;441776,69;4482917,62
29351;Ambiental;Descatalogado;;;;CALLE;ACUARIO;25;;450878,4;4480605,47
29271;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;LUIS CABRERA;26;;442653,68;4477011,12
29249;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;NUESTRA SE•ORA DE VALVERDE;105;;441766,56;4483148,28
29236;Ambiental;Descatalogado;;;;CALLE;PROTASIO GOMEZ;7;;445903,59;4476756,35
29235;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;GENERAL ARANAZ;51;;445757,64;4477236,51
29086;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;NUESTRA SE•ORA DE VALVERDE;50;;441733,66;4482913,73
15241;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;JOSE ORTEGA Y GASSET;56;;442610,22;4475683,18
14070;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;GENERAL ORAA;34;;442136,57;4476376,5
11317;Ambiental;Desaparecido por Demolici¢n Total;;;;GLORIETA;QUEVEDO;2;;440224,55;4476089,29
11723;Ambiental;Desaparecido por Demolici¢n Total;;;Viriato 43 y 43 A;CALLE;VIRIATO;43;;440679,53;4476372,21
12045;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;QUESADA;12;;440571,95;4476171,82
12081;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;JUAN DE AUSTRIA;19;;440640,91;4476096,71
12193;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;JUAN DE AUSTRIA;7;;440682,89;4475958,3
12384;Ambiental;Desaparecido por Demolici¢n Total;;;;CALLE;MANUEL GONZALEZ LONGORIA;10;;440894,68;4475566,07
30527;Ambiental;Desaparecido por Demolici¢n Total;;;;PLAZA;DON ANTONIO DE ANDRES;4;;448587,56;4472542,86
