Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;Longitud;Latitud;Direccion
001a;440394,55;4474280,53;23-06-14;01  CENTRO;01-06 SOL;PUERTA DEL SOL, PLAZA, DE LA;1 B;BiciMAD;24;-37.025.753;40.417.016;PUERTA DEL SOL, PLAZA, DE LA, 1 B
001b;440404,21;4474287,39;23-06-14;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;1;BiciMAD;24;-37.024.621;404.170.785;ALCALA, CALLE, DE, 1
2;440134,83;4474678,23;23-06-14;01  CENTRO;01-05 UNIVERSIDAD;MIGUEL MOYA, CALLE, DE;1;BiciMAD;27;-37.056.739;4.042.058;MIGUEL MOYA, CALLE, DE, 1
3;440012,98;4475760,68;23-06-14;07  CHAMBERÍ;07-02 ARAPILES;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL;2;BiciMAD;18;-37.072.122;404.303.224;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL, 2
4;440396,4;4475565,36;23-06-14;01  CENTRO;01-05 UNIVERSIDAD;MANUELA MALASAÑA, CALLE, DE;3;BiciMAD;27;-37.026.739;404.285.905;MANUELA MALASAÑA, CALLE, DE, 3
5;440446,9;4475539,69;23-06-14;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;106;BiciMAD;27;-37.020.762;404.283.628;FUENCARRAL, CALLE, DE, 106
6;440754,26;4475071,08;23-06-14;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;63;BiciMAD;24;-36.984.093;404.241.633;HORTALEZA, CALLE, DE, 63
7;440811,97;4475187,49;23-06-14;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;75;BiciMAD;21;-36.977.399;404.252.161;HORTALEZA, CALLE, DE, 75
8;441020,56;4475463,16;23-06-14;07  CHAMBERÍ;07-04 ALMAGRO;ALONSO MARTINEZ, PLAZA, DE;6;BiciMAD;24;-36.953.067;404.277.143;ALONSO MARTINEZ, PLAZA, DE, 6
9;439813,51;4474129,47;23-06-14;01  CENTRO;01-01 PALACIO;SAN MIGUEL, PLAZA, DE;9;BiciMAD;24;-37.094.093;404.156.134;SAN MIGUEL, PLAZA, DE, 9
10;441292,12;4475204,43;23-06-14;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;16;BiciMAD;24;-36.920.816;404.254.027;MARQUES DE LA ENSENADA, CALLE, DEL, 16
11;440314,86;4475395,19;23-06-14;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;20;BiciMAD;27;-37.036.192;404.270.517;SAN ANDRES, CALLE, DE, 20
12;440095,53;4475560,73;23-06-14;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;87;BiciMAD;24;-37.062.202;404.285.271;SAN BERNARDO, CALLE, DE, 87
