"tipo_elem";"distrito";"id";"id_cruce";"fecha_inst";"utm_x";"utm_y";"longitud";"latitud"
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3440;99;"2018-08-07 00:00:00";440084.55932561;4475697.1661555;-3.70636242919842;40.4297554351272
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3441;99;"2018-08-07 00:00:00";440137.352575343;4475729.9415948;-3.70574316393214;40.4300544918073
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3443;99;"2018-08-07 00:00:00";440177.252373879;4475682.00270962;-3.70526829256913;40.4296255072814
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3444;99;"2018-08-07 00:00:00";440177.393625095;4475658.70078526;-3.70526443453929;40.4294156032594
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3445;99;"2018-08-07 00:00:00";440128.469820229;4475632.49528487;-3.70583870050435;40.4291760125979
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3446;99;"2018-08-07 00:00:00";440112.045421117;4475631.28814549;-3.70603220370891;40.42916395587
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3439;99;"2018-08-07 00:00:00";440084.225377725;4475674.06463918;-3.70636418849723;40.4295473023131
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3442;99;"2018-08-07 00:00:00";440154.961564881;4475727.44575718;-3.70553534492091;40.4300332752242
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4397;2096;"2018-08-01 00:00:00";440904.693237389;4475344.33057998;-3.69666149023006;40.426635595373
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4396;2096;"2018-08-01 00:00:00";440891.671497772;4475344.92480164;-3.69681504511428;40.4266400233168
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4399;2096;"2018-08-01 00:00:00";440885.516692551;4475339.14158612;-3.6968870599384;40.4265874880818
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4398;2096;"2018-08-01 00:00:00";440887.225741854;4475345.36207075;-3.69686749212963;40.4266436465622
"AVISADOR ACUSTICO (ANTIGUO - RELOJ INDEPENDIENTE O MECANICO)";1;4424;1843;"2004-09-23 00:00:00";441253.703866221;4475289.02737389;-3.69254225707277;40.4261621159905
"AVISADOR ACUSTICO (ANTIGUO - RELOJ INDEPENDIENTE O MECANICO)";1;4425;1843;"2004-09-23 00:00:00";441240.577743991;4475274.00586736;-3.6926955979363;40.4260258681043
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;8549;34;"2019-02-06 00:00:00";440394.438122403;4475632.66638453;-3.70270338164316;40.4291966539851
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3448;34;"2018-08-06 00:00:00";440408.270461269;4475647.5103993;-3.70254171224822;40.4293313666277
