





ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;AUDIENCIA;
11017429;"100 años de la Gran Vía";"";"0";"0";"";"";"2019-10-25 00:00:00.0";"2019-10-25 23:59:00.0";"11:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=674907298aa2d610VgnVCM1000001d4a900aRCRD";"100 años de la Gran Vía";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=48fb6ad2754da610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=697c598d1351c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal La Elipa (Ciudad Lineal)";"444705";"4474959";"40.42342659084215";"-3.651841641389484";"CIUDAD LINEAL";"/contenido/actividades/ExcursionesItinerariosVisitas";"";
11019275;"11 Simposio En Red. De cuerpo y experimento";"";"0";"1";"J,V,S";"";"2019-10-24 00:00:00.0";"2019-10-26 23:59:00.0";"00:00";"diagrama sobre ergonomía";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=43f300141de3d610VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79f59dacff4d7110VgnVCM1000000b205a0aRCRD";"Medialab - Prado";"441135";"4473558";"40.410560776119";"-3.6937931079230744";"CENTRO";"";"";
11028463;"14 kilómetros";"";"1";"0";"";"";"2019-10-11 00:00:00.0";"2019-10-11 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cf57127ac2d6d610VgnVCM2000001f4a900aRCRD";"Creafest";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=efc36b2a4ba1d610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Casa de Vacas (Retiro)";"441967";"4474495";"40.41906024374356";"-3.6840615387926956";"RETIRO";"/contenido/actividades/CineActividadesAudiovisuales";"";
11032438;"1, 2, 3 IMAGINA'. Cía. Gorriones teatro.";"";"1";"0";"";"";"2019-10-04 00:00:00.0";"2019-10-04 23:59:00.0";"17:30";"Teatro infantil ? títeres: '1, 2, 3 IMAGINA'. Cía. Gorriones teatro. María Pizpireta es una na niña a la que le encantan los vídeo-juegos, así que solo hace que jugar con su teléfono móvil. Una tarde, como por arte de magia, su teléfono 'súper juegos' se le estropea?.  «Que aburrimiento'- Piensa María Pizpireta. Pero todo cambia cuando su imaginación aparece como por arte de magia, tal y como María se la había imaginado. Pelo, verde, gafas de súper héroe, guantes largos como las artistas de cine, zapatitos de tacón y una cola de caballo. Acompañados de nuestra imaginación viviremos esta gran aventura llena de magia, sorpresas y mucha diversión. Edad recomendada: todos los públicos.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=318bf2343378d610VgnVCM1000001d4a900aRCRD";"Actividades en el Centro Sociocultural Tetuán";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4c2be3e2a7103610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0ecb1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural Tetuán";"440628";"4478947";"40.45907130615822";"-3.700271645324868";"TETUAN";"/contenido/actividades/TeatroPerformance";"/usuario/Niños";
11033718;"1ª Vuelta al mundo: Magallanes - El Cano";"";"1";"0";"";"";"2019-10-15 00:00:00.0";"2019-10-15 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=81420d3e23b8d610VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Iván de Vargas (Centro)";"439775";"4473962";"40.41410290844665";"-3.7098591212735883";"CENTRO";"/contenido/actividades/ConferenciasColoquios";"";
11019983;"33º Certamen Coreográfico de Madrid";"12  euros general / 10  euros reducida";"0";"1";"M,X,J,V,S";"";"2019-12-11 00:00:00.0";"2019-12-15 23:59:00.0";"";"Danza";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d50a0c279f3d610VgnVCM1000001d4a900aRCRD";"33º Certamen Coreográfico de Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c160a0c279f3d610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Conde Duque";"439759";"4475508";"40.42802889001877";"-3.710182353581842";"CENTRO";"/contenido/actividades/DanzaBaile";"";
11033811;"5 hábitos para conseguir una pareja extraordinaria";"";"1";"0";"";"";"2019-10-17 00:00:00.0";"2019-10-17 23:59:00.0";"19:00";"Conferencia de Desarrollo Personal. (Aula 9 - 3.ª planta). Ana Belén Sandoval.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=16c97fb1f9b8d610VgnVCM2000001f4a900aRCRD";"Actividades infantiles. Domingos del Pozo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=74ba6ec1906fc610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a273d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Lope de Vega (Puente de Vallecas)";"442974";"4470850";"40.386293684801885";"-3.6718658006661906";"PUENTE DE VALLECAS";"/contenido/actividades/ConferenciasColoquios";"";
10978816;"a casa de los espíritus";"ENTRADAS DE 5 A 22  euros(Incluido en Abonos de temporada)";"0";"1";"M,X,J,V,S,D";"";"2020-06-04 00:00:00.0";"2020-07-12 23:59:00.0";"00:00";"CARME ©Geraldine Leloutre";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4c05ded98839b610VgnVCM1000001d4a900aRCRD";"La casa de los espíritus";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c015ded98839b610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD";"Teatro Español";"440597";"4474036";"40.41482868269558";"-3.7001663599562105";"CENTRO";"/contenido/actividades/TeatroPerformance";"";
11014008;"A DOUBLE LIFE / CRONOFOBIA";"";"0";"0";"";"";"2019-10-13 00:00:00.0";"2019-10-13 23:59:00.0";"";"A DOUBLE LIFE (Job, Joris &amp;amp; Marieke / Países Bajos / 2018 / 3?) PREMIERE MADRID    Una exquisita comedia negra sobre una pareja cuyas ideas sobre la conformidad de género lleva a una inesperada confrontación.  Trailer  Sin diálogos  CRONOFOBIA (Francesco Rizzi / Suiza / 2018 / 93?) Suter es un hombre misterioso y solitario, que está en constante movimiento huyendo siempre de sí mismo. Durante el día viaja a través de Suiza en una anónima furgoneta blanca. De noche, observa en secreto la vida de Anna, una mujer de carácter rebelde, que intenta con dificultad superar un gran trauma. Tras descubrir la obsesión de Suter, Anna consigue establecer con él una forma peculiar de intimidad, que rápidamente se convierte en una relación tierna y perturbadora al mismo tiempo. Pero este delicado equilibrio se ve amenazado por un oscuro secreto?  Trailer  Versión original  italiano subtitulado en español e inglésPresentación y coloquio a cargo del director Francesco Rizzi. ";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0479a4e0fe91d610VgnVCM1000001d4a900aRCRD";"28.º Festival de Cine de Madrid. Plataforma Nuevos Realizadores (PNR).";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4e9a4e0fe91d610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"Cineteca Madrid";"440946";"4471394";"40.391053041229135";"-3.6958079719260075";"ARGANZUELA";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11026235;"A la vuelta de la esquina";"";"1";"0";"";"";"2019-10-05 00:00:00.0";"2019-10-05 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=828fb608d026d610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Buero Vallejo (San Blas - Canillejas)";"448023";"4477305";"40.44477474902185";"-3.6129105844633775";"SAN BLAS-CANILLEJAS";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
